NSS 69th round: List of districts in India,,,
,,,
st,State Name,dc,District Name
28,ANDHRA PRADESH,01,Adilabad
09,UTTAR PRADESH,15,Agra
24,GUJARAT,07,Ahmadabad
27,MAHARASHTRA,26,Ahmadnagar
15,MIZORAM,03,Aizawl
08,RAJASTHAN,21,Ajmer
27,MAHARASHTRA,05,Akola
32,KERALA,11,Alappuzha
09,UTTAR PRADESH,12,Aligarh
23,MADHYA PRADESH,49,Alirajpur
09,UTTAR PRADESH,45,Allahabad
05,UTTARAKHAND,09,Almora
08,RAJASTHAN,06,Alwar
06,HARYANA,02,Ambala
09,UTTAR PRADESH,48,Ambedkar Nagar
27,MAHARASHTRA,07,Amravati
24,GUJARAT,13,Amreli
03,PUNJAB,02,Amritsar
24,GUJARAT,15,Anand
28,ANDHRA PRADESH,22,Anantapur
01,JAMMU & KASHMIR,06,Anantnag
12,ARUNACHAL PRADESH,14,Anjaw
21,ORISSA,15,Anugul
23,MADHYA PRADESH,47,Anuppur
10,BIHAR,07,Araria
33,TAMIL NADU,17,Ariyalur
10,BIHAR,38,Arwal
23,MADHYA PRADESH,46,Ashoknagar
09,UTTAR PRADESH,32,Auraiya
10,BIHAR,34,Aurangabad
27,MAHARASHTRA,19,Aurangabad
09,UTTAR PRADESH,61,Azamgarh
01,JAMMU & KASHMIR,04,Badgam
29,KARNATAKA,02,Bagalkot
05,UTTARAKHAND,08,Bageshwar
09,UTTAR PRADESH,08,Baghpat
09,UTTAR PRADESH,50,Bahraich
18,ASSAM,25,Baksa
23,MADHYA PRADESH,45,Balaghat
21,ORISSA,24,Balangir
21,ORISSA,08,Baleshwar
09,UTTAR PRADESH,63,Ballia
09,UTTAR PRADESH,52,Balrampur
24,GUJARAT,02,Banas Kantha
09,UTTAR PRADESH,40,Banda
01,JAMMU & KASHMIR,22,Bandipora
29,KARNATAKA,20,Bangalore
29,KARNATAKA,21,Bangalore Rural
10,BIHAR,23,Banka
19,WEST BENGAL,13,Bankura
08,RAJASTHAN,28,Banswara
09,UTTAR PRADESH,46,Barabanki
01,JAMMU & KASHMIR,02,Baramula
08,RAJASTHAN,31,Baran *
19,WEST BENGAL,09,Barddhaman
09,UTTAR PRADESH,20,Bareilly
21,ORISSA,01,Bargarh  *
08,RAJASTHAN,17,Barmer
03,PUNJAB,19,Barnala
18,ASSAM,05,Barpeta
23,MADHYA PRADESH,28,Barwani *
22,CHHATTISGARH,15,Bastar
09,UTTAR PRADESH,55,Basti
03,PUNJAB,14,Bathinda
21,ORISSA,22,Baudh  *
10,BIHAR,20,Begusarai
29,KARNATAKA,01,Belgaum
29,KARNATAKA,12,Bellary
23,MADHYA PRADESH,35,Betul
21,ORISSA,09,Bhadrak  *
10,BIHAR,22,Bhagalpur
27,MAHARASHTRA,10,Bhandara
08,RAJASTHAN,07,Bharatpur
24,GUJARAT,21,Bharuch
24,GUJARAT,14,Bhavnagar
08,RAJASTHAN,24,Bhilwara
23,MADHYA PRADESH,03,Bhind
06,HARYANA,13,Bhiwani
10,BIHAR,29,Bhojpur
23,MADHYA PRADESH,32,Bhopal
27,MAHARASHTRA,27,Bid
29,KARNATAKA,05,Bidar
22,CHHATTISGARH,18,Bijapur
29,KARNATAKA,03,Bijapur
09,UTTAR PRADESH,03,Bijnor
08,RAJASTHAN,03,Bikaner
02,HIMACHAL PRADESH,08,Bilaspur
22,CHHATTISGARH,07,Bilaspur
19,WEST BENGAL,08,Birbhum
14,MANIPUR,04,Bishnupur
20,JHARKHAND,13,Bokaro *
18,ASSAM,04,Bongaigaon
09,UTTAR PRADESH,19,Budaun
09,UTTAR PRADESH,11,Bulandshahar
27,MAHARASHTRA,04,Buldana
08,RAJASTHAN,23,Bundi
23,MADHYA PRADESH,48,Burhanpur
10,BIHAR,30,Buxar *
18,ASSAM,21,Cachar
29,KARNATAKA,27,Chamarajanagar *
02,HIMACHAL PRADESH,01,Chamba
05,UTTARAKHAND,02,Chamoli
05,UTTARAKHAND,10,Champawat
15,MIZORAM,04,Champhai *
09,UTTAR PRADESH,66,Chandauli *
14,MANIPUR,09,Chandel
04,CHANDIGARH,01,Chandigarh
